,city,state
0,Montgomery,Alabama
46,Little Rock,Arkansas
55,Mabelvale,Arkansas
90,Alexander,Arkansas
92,Tolleson,Arizona
93,Phoenix,Arizona
109,Glendale,Arizona
127,Cave Creek,Arizona
139,Sacramento,California
145,Antelope,California
181,Elk Grove,California
185,Denver,Colorado
231,Hartford,Connecticut
277,Dover,Delaware
323,Tallahassee,Florida
369,Atlanta,Georgia
372,Sandy Springs,Georgia
381,Hapeville,Georgia
416,Honolulu,Hawaii
419,Des Moines,Iowa
454,Boone,Iowa
465,Springfield,Illinois
501,Indianapolis,Indiana
529,Lawrence,Indiana
547,Frankfort,Kentucky
593,Boston,Massachusetts
639,Annapolis,Maryland
685,Lansing,Michigan
731,Saint Paul,Minnesota
732,Shoreview,Minnesota
743,Arden Hills,Minnesota
774,Little Canada,Minnesota
777,Raleigh,North Carolina
823,Lincoln,Nebraska
870,Concord,New Hampshire
873,Trenton,New Jersey
875,Hamilton,New Jersey
885,Lawrenceville,New Jersey
893,Robbinsville,New Jersey
918,Carson City,Nevada
964,Albany,New York
966,Menands,New York
977,Loudonville,New York
978,Guilderland,New York
1010,Galloway,Ohio
1011,Columbus,Ohio
1013,Canal Winchester,Ohio
1015,Dublin,Ohio
1031,Grove City,Ohio
1036,Westerville,Ohio
1052,Reynoldsburg,Ohio
1056,Oklahoma City,Oklahoma
1058,Edmond,Oklahoma
1061,Yukon,Oklahoma
1064,Piedmont,Oklahoma
1074,Mustang,Oklahoma
1079,Midwest City,Oklahoma
1086,Spencer,Oklahoma
1103,Salem,Oregon
1149,Harrisburg,Pennsylvania
1195,Providence,Rhode Island
1201,North Providence,Rhode Island
1241,Columbia,South Carolina
1243,Garnett,South Carolina
1254,Elgin,South Carolina
1274,Hermitage,Tennessee
1275,Old Hickory,Tennessee
1276,Nashville,Tennessee
1277,Antioch,Tennessee
1285,Pegram,Tennessee
1288,Joelton,Tennessee
1292,Richmond,Virginia
1296,Henrico,Virginia
1309,Ampthill,Virginia
1315,Highland Springs,Virginia
1338,Olympia,Washington
1381,Tumwater,Washington
1384,Madison,Wisconsin
1392,Verona,Wisconsin
1409,McFarland,Wisconsin
1430,Charleston,West Virginia
1437,Cross Lanes,West Virginia
1442,South Charleston,West Virginia
1454,Charlton Heights,West Virginia
